COMID,GNIS_Name,AreaSqKM,TotDASqKM,DivDASqKM
25138804,Colorado River,3.1473,402516.1008,402113.0925
25138766,Colorado River,10.1628,402551.2314,402148.2231
945010408,Colorado River,8.1945,404350.3494,403935.1731
945010409,Colorado River,2.3328,404397.6822,403982.5059
25138590,Colorado River,4.6215,404455.9158,404040.7395
25138602,Colorado River,0.1539,404491.1409,404075.9646
25138604,Colorado River,0.1791,404502.2676,404087.0913
25138582,Colorado River,0.7542,404519.3811,404104.2048
25138598,Colorado River,0.0909,404523.4554,404108.2791
25138600,Colorado River,0.2124,404527.3479,404112.1716
25138610,Colorado River,6.7806,404574.4827,404159.3064
25138612,Colorado River,1.8666,404577.8892,404162.7129
25138620,Colorado River,0.0531,404581.8645,404166.6882
25138622,Colorado River,4.7628,404591.913,404176.7367
25138624,Colorado River,0.6381,404621.9577,404206.7814
25138632,Colorado River,4.0617,404635.1598,404219.9835
25138634,Colorado River,1.7856,404641.9404,404226.7641
25138646,Colorado River,4.0329,404661.2247,404246.0484
25138652,Colorado River,0.1188,404666.1594,404250.9831
25138654,Colorado River,0.0486,404683.5537,404268.3774
25138676,Colorado River,10.7424,404699.0274,404283.8511
25138688,Colorado River,0.0918,404862.6348,404447.4585
25138690,Colorado River,2.1114,404887.8753,404472.699
25138686,Colorado River,2.6271,404898.5394,404483.3631
25138684,Colorado River,1.3221,404912.6271,404497.4508
25138736,Colorado River,3.8511,404934.4053,404519.229
25138740,Colorado River,11.5767,408763.5849,407160.0621
25138746,Colorado River,3.186,408829.2165,407225.6937
25138754,Colorado River,8.4924,408854.4606,407250.9378
25138756,Colorado River,2.0844,408879.8424,407276.3196
25138762,Colorado River,0,408885.1893,407281.6665
25138764,Colorado River,1.2879,408885.1893,407281.6665
21434295,Colorado River,0.036,408885.2253,407281.7025
21434297,Colorado River,3.7377,408888.963,407285.4402
21442559,Colorado River,0.0054,408895.9029,407292.3801
21435121,Colorado River,0.5139,408905.8884,407302.3656
21435127,Colorado River,0.8694,408909.9087,407306.3859
21435129,Colorado River,0.0045,408911.9643,407308.4415
21435133,Colorado River,2.3634,408939.8994,407336.3766
21435139,Colorado River,0.6273,408944.1213,407340.5985
21435141,Colorado River,0.0207,408973.176,407369.6532
21435143,Colorado River,0.0891,408973.2651,407369.7423
21435145,Colorado River,0.0873,408973.3524,407369.8296
21435149,Colorado River,2.1222,409004.1801,407400.6573
21435153,Colorado River,0.0558,409007.8386,407404.3158
21435157,Colorado River,3.1689,409011.0678,407407.545
21435161,Colorado River,1.6146,409014.1035,407410.5807
21435163,Colorado River,0.1053,409014.2088,407410.686
21435167,Colorado River,0.0423,409014.2511,407410.7283
21435169,Colorado River,2.0331,409019.7105,407416.1877
21435173,Colorado River,0.0144,409025.6388,407422.116
21435177,Colorado River,0.0468,409026.9672,407423.4444
21435179,Colorado River,0.0819,409027.0491,407423.5263
21435181,Colorado River,0.0414,409027.0905,407423.5677
21435185,Colorado River,1.7811,409031.1549,407427.6321
21435189,Colorado River,0.0108,409031.1657,407427.6429
21435191,Colorado River,0.0315,409060.4517,407456.9289
21435197,Colorado River,1.0017,409061.4534,407457.9306
21435199,Colorado River,0.432,409067.2008,407463.678
21435205,Colorado River,0.1188,409072.8285,407469.3057
21435207,Colorado River,0.0477,409072.8762,407469.3534
21435209,Colorado River,0.1872,409073.0634,407469.5406
21435215,Colorado River,1.287,409076.4546,407472.9318
21435219,Colorado River,28.9395,409107.1095,407503.5867
21435221,Colorado River,0.0729,409116.5541,407513.0313
21435225,Colorado River,0.0729,409127.9049,407524.3821
21435231,Colorado River,0.6561,409238.0838,407634.561
21435233,Colorado River,0.5031,409238.5869,407635.0641
21435237,Colorado River,2.4201,409241.007,407637.4842
21435239,Colorado River,4.5612,409248.594,407645.0712
21435243,Colorado River,0.3177,409250.2104,407646.6876
21435247,Colorado River,0.0729,409284.234,407680.7112
21435249,Colorado River,0.1332,409284.3672,407680.8444
21435251,Colorado River,0.0549,409284.4221,407680.8993
21435257,Colorado River,2.97,409287.3921,407683.8693
21435261,Colorado River,0.1062,409295.7009,407692.1781
21435265,Colorado River,0.6939,409299.0669,407695.5441
21435269,Colorado River,0.3114,409300.8453,407697.3225
21435273,Colorado River,1.3869,409308.4359,407704.9131
21435279,Colorado River,5.8554,409316.7843,407713.2615
21435281,Colorado River,2.3589,409322.0457,407718.5229
21435285,Colorado River,4.1499,409340.0214,407736.4986
21435289,Colorado River,4.3542,409358.8548,407755.332
21435295,Colorado River,0.0063,409360.7115,407757.1887
21442607,Colorado River,1.5714,409390.4439,407786.9211
21435297,Colorado River,4.482,409408.2468,407804.724
21435303,Colorado River,15.8697,409451.0301,407847.5073
21435305,Colorado River,0.7938,409453.8264,407850.3036
21435309,Colorado River,0.2259,409467.0933,407863.5705
21435313,Colorado River,0.7029,409479.1308,407875.608
21435319,Colorado River,23.2686,409561.1964,407957.6736
21435321,Colorado River,17.1837,409580.5221,407976.9993
21435325,Colorado River,7.7967,409590.8136,407987.2908
21435329,Colorado River,4.5684,409603.0014,407999.4786
21442609,Colorado River,0.3447,409625.5563,408022.0335
21435335,Colorado River,0.0693,409629.0699,408025.5471
21435337,Colorado River,0.1107,409633.4781,408029.9553
21435341,Colorado River,0.486,409681.8918,408078.369
21435347,Colorado River,0.2655,409686.5727,408083.0499
21435349,Colorado River,57.735,409746.2832,408142.7604
21435353,Colorado River,0.0963,409750.0713,408146.5485
21435359,Colorado River,0.0792,409766.2632,408162.7404
21435363,Colorado River,0.5805,409769.8974,408166.3746
21435369,Colorado River,0.1512,409770.0486,408166.5258
21435373,Colorado River,0.0864,409798.8486,408195.3258
21435377,Colorado River,0.5076,409821.9336,408218.4108
21435379,Colorado River,4.7043,409829.8698,408226.347
21435383,Colorado River,0.2169,409847.3325,408243.8097
21435385,Colorado River,0.0378,409848.6951,408245.1723
21435393,Colorado River,3.4101,409854.4038,408250.881
21435401,Colorado River,0.0243,409862.1618,408258.639
21442611,Colorado River,1.1961,409909.8987,408306.3759
21435411,Colorado River,1.6281,409939.9794,408336.4566
21435415,Colorado River,0.3465,409950.3402,408346.8174
21435419,Colorado River,0.6561,409955.9679,408352.4451
21435421,Colorado River,2.0412,409967.8173,408364.2945
21442613,Colorado River,2.8521,409975.8552,408372.3324
21435429,Colorado River,0.0135,409994.7174,408391.1946
21435431,Colorado River,0.0099,410000.4432,408396.9204
