FID,OBJECTID,COMID,FDATE,RESOLUTION,GNIS_ID,GNIS_NAME,LENGTHKM,REACHCODE,FLOWDIR,WBAREACOMI,FTYPE,FCODE,SHAPE_LENG,GNIS_NBR,Shape_Le_1,Enabled,stream_ord
0,59150,15036513,3/17/2008 0:00:00,Medium,235043,South Fork Putah Creek,0.933000000000000,18020162003114,Uninitialized,0,StreamRiver,46003,0.010084421420000,0,936.602623879000020,1,0
1,59151,15036539,3/17/2008 0:00:00,Medium,235043,South Fork Putah Creek,1.197000000000000,18020162003114,With Digitized,0,StreamRiver,46006,0.013056533650000,0,1201.727748950000000,1,5
2,59152,15036533,3/17/2008 0:00:00,Medium,235043,South Fork Putah Creek,1.497000000000000,18020162003115,With Digitized,0,StreamRiver,46006,0.016185187140000,0,1501.543559170000000,1,5
3,59196,15036369,7/17/1999 0:00:00,Medium, , ,0.030000000000000,18020162003142,With Digitized,0,CanalDitch,33600,0.000349600000000,0,30.441843288099999,1,6
4,59197,15036379,7/17/1999 0:00:00,Medium, , ,0.905000000000000,18020162003143,With Digitized,0,CanalDitch,33600,0.010473305540000,0,912.698421949000020,1,6
5,59198,15036373,7/17/1999 0:00:00,Medium, , ,0.453000000000000,18020162003144,With Digitized,0,CanalDitch,33600,0.005245727360000,0,456.846986125000000,1,6
6,59199,15036377,7/17/1999 0:00:00,Medium, , ,1.117000000000000,18020162003145,With Digitized,0,CanalDitch,33600,0.012937656070000,0,1126.636566899999900,1,6
7,59200,15036383,7/17/1999 0:00:00,Medium, , ,0.722000000000000,18020162003146,With Digitized,0,CanalDitch,33600,0.008363576840000,0,728.357989821000050,1,6
8,59201,15036387,7/17/1999 0:00:00,Medium, , ,0.423000000000000,18020162003147,With Digitized,0,CanalDitch,33600,0.004895368110000,0,426.299954621999970,1,6
9,59202,15036407,7/17/1999 0:00:00,Medium, , ,0.318000000000000,18020162003148,Uninitialized,0,CanalDitch,33600,0.002837933330000,0,315.463362824000000,1,0
10,59203,15039327,3/18/2008 0:00:00,Medium, , ,0.416000000000000,18020162003148,Uninitialized,20192206,ArtificialPath,55800,0.003738331620000,0,412.331737631000010,1,0
11,59207,15036441,7/17/1999 0:00:00,Medium, , ,0.875000000000000,18020162003152,Uninitialized,0,CanalDitch,33600,0.007807713310000,0,867.751363662000020,1,0
12,59208,15036443,7/17/1999 0:00:00,Medium, , ,1.237000000000000,18020162003153,Uninitialized,0,CanalDitch,33600,0.012099553290000,0,1233.240039009999900,1,0
13,59210,15036515,7/17/1999 0:00:00,Medium, , ,0.944000000000000,18020162003155,Uninitialized,0,CanalDitch,33600,0.008933484180000,0,939.482564892000030,1,0
14,59211,15036517,7/17/1999 0:00:00,Medium, , ,1.647000000000000,18020162003156,Uninitialized,0,CanalDitch,33600,0.014703036600000,0,1633.000377950000000,1,0
15,59212,15036519,7/17/1999 0:00:00,Medium, , ,1.699000000000000,18020162003157,With Digitized,0,CanalDitch,33600,0.019666148800000,0,1712.987244169999900,1,5
16,59213,15036521,7/17/1999 0:00:00,Medium, , ,0.404000000000000,18020162003158,With Digitized,0,CanalDitch,33600,0.004673528840000,0,407.723242636000010,1,5
17,59281,15036567,7/17/1999 0:00:00,Medium, , ,0.707000000000000,18020162003208,With Digitized,0,StreamRiver,46006,0.006966862060000,0,705.050637744000030,1,5
18,59282,15036575,7/17/1999 0:00:00,Medium, , ,1.278000000000000,18020162003208,With Digitized,0,StreamRiver,46006,0.013126800430000,0,1277.866596800000000,1,5
19,59283,15039151,3/18/2008 0:00:00,Medium, , ,0.741000000000000,18020162003209,Uninitialized,20192208,ArtificialPath,55800,0.006646985980000,0,735.523670480999950,1,0
20,59862,15048343,3/18/2008 0:00:00,Medium,1654949,Sacramento River,1.349000000000000,18020163012228,With Digitized,120049838,ArtificialPath,55800,0.014271811230000,0,1351.719459960000000,1,7
21,59863,15048249,3/18/2008 0:00:00,Medium,1654949,Sacramento River,0.228000000000000,18020163012229,With Digitized,120049838,ArtificialPath,55800,0.002422810160000,0,228.101873820000010,1,7
22,59864,15048247,3/18/2008 0:00:00,Medium,1654949,Sacramento River,8.515000000000001,18020163012230,With Digitized,120049838,ArtificialPath,55800,0.081246272300000,0,8476.075720560000300,1,7
23,59865,15048219,3/18/2008 0:00:00,Medium,220358,Cache Slough,0.290000000000000,18020163012231,With Digitized,120049838,ArtificialPath,55800,0.002869856310000,0,289.711962473000030,1,6
24,59866,15048143,3/18/2008 0:00:00,Medium,1654949,Sacramento River,2.556000000000000,18020163012232,With Digitized,120049838,ArtificialPath,55800,0.023437209810000,0,2538.408435360000100,1,7
25,59867,15048089,3/18/2008 0:00:00,Medium,1654949,Sacramento River,2.991000000000000,18020163012233,With Digitized,120049838,ArtificialPath,55800,0.032732188110000,0,3003.830188439999800,1,7
26,59868,15059777,3/18/2008 0:00:00,Medium,220358,Cache Slough,0.297000000000000,18020163012234,With Digitized,120049838,ArtificialPath,55800,0.002821563030000,0,295.290325279000000,1,6
27,59869,15048215,3/18/2008 0:00:00,Medium,220358,Cache Slough,2.435000000000000,18020163012234,With Digitized,120049838,ArtificialPath,55800,0.022208272660000,0,2417.666550580000100,1,6
28,59870,15048213,3/18/2008 0:00:00,Medium,220358,Cache Slough,0.102000000000000,18020163012235,With Digitized,120049838,ArtificialPath,55800,0.000988621810000,0,101.544230074000000,1,6
29,59871,948021229,3/18/2008 0:00:00,Medium,220358,Cache Slough,2.789000000000000,18020163012236,With Digitized,120049838,ArtificialPath,55800,0.030813622920000,0,2776.804728440000000,1,6
30,59872,948021230,3/18/2008 0:00:00,Medium,220358,Cache Slough,0.402000000000000,18020163012236,With Digitized,120049838,ArtificialPath,55800,0.030813622920000,0,402.101718687000020,1,6
31,59873,15048197,3/18/2008 0:00:00,Medium,220358,Cache Slough,0.115000000000000,18020163012237,With Digitized,120049838,ArtificialPath,55800,0.001030148100000,0,114.492864289000000,1,6
32,59874,15048187,3/18/2008 0:00:00,Medium,220358,Cache Slough,1.239000000000000,18020163012238,With Digitized,120049838,ArtificialPath,55800,0.012318435510000,0,1236.075477800000000,1,5
33,59875,15048177,3/18/2008 0:00:00,Medium,220358,Cache Slough,1.803000000000000,18020163012239,With Digitized,120049838,ArtificialPath,55800,0.017155609460000,0,1794.322524250000000,1,4
34,59876,15048171,3/18/2008 0:00:00,Medium,220358,Cache Slough,4.776000000000000,18020163012240,With Digitized,120049838,ArtificialPath,55800,0.047696352840000,0,4767.162667460000200,1,4
35,59879,15042559,3/18/2008 0:00:00,Medium, , ,0.480000000000000,18020163012241,With Digitized,0,StreamRiver,46006,0.005337363060000,0,482.395182202000000,1,4
36,59889,15048013,7/6/1999 0:00:00,Medium,253727,Elkhorn Slough,0.495000000000000,18020163012245,With Digitized,0,StreamRiver,46006,0.004964948780000,0,494.018231927999980,1,2
37,59890,15048207,3/18/2008 0:00:00,Medium,253727,Elkhorn Slough,0.378000000000000,18020163012245,With Digitized,120049838,ArtificialPath,55800,0.003844438390000,0,378.162613299999980,1,2
38,59891,15042747,7/6/1999 0:00:00,Medium,224999,Haas Slough,1.376000000000000,18020163012246,With Digitized,0,StreamRiver,46006,0.015167331590000,0,1382.618960009999900,1,1
39,59892,15043061,7/6/1999 0:00:00,Medium,224999,Haas Slough,1.299000000000000,18020163012246,With Digitized,0,StreamRiver,46006,0.013184949570000,0,1297.876403420000100,1,1
